Placa;Codigo_Verificacion;Fecha_Emision;A¤o_Proceso;Medio_de_Pago;Cuotas Permiso;Codigo_SII;Comuna_Propietario;Comuna_Permiso;Valor_Contado;Total_a_Pagar;A¤o_Fabricacion;TipoVehiculo;Marca;Modelo;Cilindrada;Equipamiento;Combustible;Transmision;Tonelaje;Comuna_Anterior;Fecha_Vencimiento;;;Placa;Codigo_Verificacion;Fecha_Emision;A¤o_Proceso;Medio_de_Pago;Cuotas Permiso;Codigo_SII;Comuna_Propietario;Comuna_Permiso;Valor_Contado;Total_a_Pagar;A¤o_Fabricacion;TipoVehiculo;Marca;Modelo;Cilindrada;Equipamiento;Combustible;Transmision;Tonelaje;Comuna_Anterior;Fecha_Vencimiento
BVTS-52;0;26-04-2021;2021;Pagado Internet;Total;CT166001496;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;1996;CAMIONETA;MITSUBISHI;CANTER;2800;Norm;Dies;Mec;0;RIO IBA¥EZ;31-03-2022;;;BVTS-52;0;26-04-2021;NULL;Pagado Internet;Total;CT166001496;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;1996;CAMIONETA;MITSUBISHI;CANTER;2800;Norm;Dies;Mec;0;RIO IBA¥EZ;31-03-2022
BWKY-94;4;31-03-2021;2021;Pagado Internet;Total;HB052016210;COYHAIQUE;RIO IBA¥EZ;29643;25489;2010;AUTOMOVIL;CITROEN;C3 SX I;1400;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;BWKY-94;4;31-03-2021;NULL;Pagado Internet;Total;HB052016210;COYHAIQUE;RIO IBA¥EZ;29643;25489;2010;AUTOMOVIL;CITROEN;C3 SX I;1400;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
BWZK-61;3;07-04-2021;2021;Pagado Internet;Total;VN166003809;RIO IBA¥EZ;RIO IBA¥EZ;29181;25923;2009;MINIBUS PARTICULAR;MITSUBISHI;L300 FURGON 4 PUERTAS;2000;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;BWZK-61;3;07-04-2021;NULL;Pagado Internet;Total;VN166003809;RIO IBA¥EZ;RIO IBA¥EZ;29181;25923;2009;MINIBUS PARTICULAR;MITSUBISHI;L300 FURGON 4 PUERTAS;2000;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
BWZP-28;0;15-03-2021;2021;Pagado Internet;Total;CT166001493;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1993;CAMIONETA;MITSUBISHI;L200;2500;Norm;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;BWZP-28;0;15-03-2021;NULL;Pagado Internet;Total;CT166001493;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1993;CAMIONETA;MITSUBISHI;L200;2500;Norm;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
BWZP-31;0;05-04-2021;2021;Pagado Internet;Total;SD227004592;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;1992;STATION WAGON;SUBARU;FORESTER 4X4 2.0;2000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;BWZP-31;0;05-04-2021;NULL;Pagado Internet;Total;SD227004592;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;1992;STATION WAGON;SUBARU;FORESTER 4X4 2.0;2000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
BWZS-94;8;06-04-2021;2021;Pagado Internet;Total;VN166000796;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;1996;STATION WAGON;MITSUBISHI;MONTERO 3.0 IE WAGON;3000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;BWZS-94;8;06-04-2021;NULL;Pagado Internet;Total;VN166000796;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;1996;STATION WAGON;MITSUBISHI;MONTERO 3.0 IE WAGON;3000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
BYYZ-99;0;31-03-2021;2021;Pagado Internet;Total;VN235003609;LO BARNECHEA;RIO IBA¥EZ;116540;116540;2009;STATION WAGON;TOYOTA;LAND CRUISER;4000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;BYYZ-99;0;31-03-2021;NULL;Pagado Internet;Total;VN235003609;LO BARNECHEA;RIO IBA¥EZ;116540;116540;2009;STATION WAGON;TOYOTA;LAND CRUISER;4000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
BZDL-23;8;31-03-2021;2021;Pagado Internet;Total;CT079013509;RIO IBA¥EZ;RIO IBA¥EZ;30965;30965;2009;CAMIONETA;FORD;F150 DC LARIAT 5.4L 4X4;5400;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;BZDL-23;8;31-03-2021;NULL;Pagado Internet;Total;CT079013509;RIO IBA¥EZ;RIO IBA¥EZ;30965;30965;2009;CAMIONETA;FORD;F150 DC LARIAT 5.4L 4X4;5400;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CBRH-30;3;15-03-2021;2021;Pagado Internet;Total;SU132004304;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2004;STATION WAGON;KIA MOTORS;SORENTO EX 3.5 AT;3500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CBRH-30;3;15-03-2021;NULL;Pagado Internet;Total;SU132004304;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2004;STATION WAGON;KIA MOTORS;SORENTO EX 3.5 AT;3500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CBRH-54;0;30-03-2021;2021;Pagado Internet;Total;SD235007195;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1995;AUTOMOVIL;TOYOTA;TERCEL 1.5 LE;1500;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CBRH-54;0;30-03-2021;NULL;Pagado Internet;Total;SD235007195;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1995;AUTOMOVIL;TOYOTA;TERCEL 1.5 LE;1500;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CBRH-86;9;30-03-2021;2021;Pagado Internet;Total;CT235004499;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1999;STATION WAGON;TOYOTA;HILUX;2800;Norm;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CBRH-86;9;30-03-2021;NULL;Pagado Internet;Total;CT235004499;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1999;STATION WAGON;TOYOTA;HILUX;2800;Norm;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CCXB-36;2;31-03-2021;2021;Pagado Internet;Total;SD050025110;TEMUCO;RIO IBA¥EZ;27970;27970;2010;STATION WAGON;CHEVROLET;OPTRA;1600;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CCXB-36;2;31-03-2021;NULL;Pagado Internet;Total;SD050025110;TEMUCO;RIO IBA¥EZ;27970;27970;2010;STATION WAGON;CHEVROLET;OPTRA;1600;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CCXT-78;7;30-03-2021;2021;Pagado Internet;Total;CT176002994;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1994;CAMIONETA;NISSAN;KING-CAB SIN VERSION;3000;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CCXT-78;7;30-03-2021;NULL;Pagado Internet;Total;CT176002994;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1994;CAMIONETA;NISSAN;KING-CAB SIN VERSION;3000;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CDSJ-40;1;30-03-2021;2021;Pagado Internet;Total;CT235011610;RIO IBA¥EZ;RIO IBA¥EZ;26131;26131;2010;CAMIONETA;TOYOTA;HILUX;2500;Equi;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CDSJ-40;1;30-03-2021;NULL;Pagado Internet;Total;CT235011610;RIO IBA¥EZ;RIO IBA¥EZ;26131;26131;2010;CAMIONETA;TOYOTA;HILUX;2500;Equi;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CDWK-13;0;26-04-2021;2021;Pagado Internet;Total;SU229021310;RIO IBA¥EZ;RIO IBA¥EZ;30119;25923;2010;STATION WAGON;SUZUKI;JIMNY JX PS;1300;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CDWK-13;0;26-04-2021;NULL;Pagado Internet;Total;SU229021310;RIO IBA¥EZ;RIO IBA¥EZ;30119;25923;2010;STATION WAGON;SUZUKI;JIMNY JX PS;1300;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CDXJ-81;0;07-04-2021;2021;Pagado Internet;Total;CT160009809;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;2009;CAMIONETA;MAZDA;BT50;2500;Norm;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CDXJ-81;0;07-04-2021;NULL;Pagado Internet;Total;CT160009809;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;2009;CAMIONETA;MAZDA;BT50;2500;Norm;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CFGX-43;1;24-05-2021;2021;Pagado Internet;Total;HB235002810;LA REINA;RIO IBA¥EZ;39410;40835;2010;AUTOMOVIL;TOYOTA;YARIS;1300;Equi;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CFGX-43;1;24-05-2021;NULL;Pagado Internet;Total;HB235002810;LA REINA;RIO IBA¥EZ;39410;40835;2010;AUTOMOVIL;TOYOTA;YARIS;1300;Equi;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CFKB-87;1;30-03-2021;2021;Pagado Internet;Total;SU176019810;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;STATION WAGON;NISSAN;X-TRAIL X 4X4;2500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CFKB-87;1;30-03-2021;NULL;Pagado Internet;Total;SU176019810;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;STATION WAGON;NISSAN;X-TRAIL X 4X4;2500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CFVR-81;2;27-08-2021;2021;Pagado Internet;Total;SU132004306;RIO IBA¥EZ;RIO IBA¥EZ;25489;27757;2006;STATION WAGON;KIA MOTORS;SORENTO EX 3.5 AT;3500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CFVR-81;2;27-08-2021;NULL;Pagado Internet;Total;SU132004306;RIO IBA¥EZ;RIO IBA¥EZ;25489;27757;2006;STATION WAGON;KIA MOTORS;SORENTO EX 3.5 AT;3500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CFVS-46;0;11-03-2021;2021;Pagado Internet;Total;SU229023410;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;STATION WAGON;SUZUKI;GRAND NOMADE GLX SPORT 4X4;2000;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CFVS-46;0;11-03-2021;NULL;Pagado Internet;Total;SU229023410;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;STATION WAGON;SUZUKI;GRAND NOMADE GLX SPORT 4X4;2000;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CGGG-95;6;31-03-2021;2021;Pagado Internet;Total;CT235011610;RIO IBA¥EZ;RIO IBA¥EZ;26131;26131;2010;CAMIONETA;TOYOTA;HILUX DIESEL 4X4 A/A;2500;Equi;Dies;Mec;0;RIO IBA¥EZ;31-03-2022;;;CGGG-95;6;31-03-2021;NULL;Pagado Internet;Total;CT235011610;RIO IBA¥EZ;RIO IBA¥EZ;26131;26131;2010;CAMIONETA;TOYOTA;HILUX DIESEL 4X4 A/A;2500;Equi;Dies;Mec;0;RIO IBA¥EZ;31-03-2022
CGLF-34;K;06-04-2021;2021;Pagado Internet;Total;SU235006910;VI¥A DEL MAR;RIO IBA¥EZ;70781;71987;2010;STATION WAGON;TOYOTA;ADVANTAGE;2400;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CGLF-34;K;06-04-2021;NULL;Pagado Internet;Total;SU235006910;VI¥A DEL MAR;RIO IBA¥EZ;70781;71987;2010;STATION WAGON;TOYOTA;ADVANTAGE;2400;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CGYL-25;7;30-03-2021;2021;Pagado Internet;Total;HB235004610;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;AUTOMOVIL;TOYOTA;URBAN CRUISER;1300;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CGYL-25;7;30-03-2021;NULL;Pagado Internet;Total;HB235004610;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;AUTOMOVIL;TOYOTA;URBAN CRUISER;1300;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CGZF-45;5;30-03-2021;2021;Pagado Internet;Total;SU229024510;CHILE CHICO;RIO IBA¥EZ;28051;28051;2010;STATION WAGON;SUZUKI;GRAND NOMADE;3200;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CGZF-45;5;30-03-2021;NULL;Pagado Internet;Total;SU229024510;CHILE CHICO;RIO IBA¥EZ;28051;28051;2010;STATION WAGON;SUZUKI;GRAND NOMADE;3200;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CHHV-85;9;22-03-2021;2021;Pagado Internet;Total;SU227030810;RIO IBA¥EZ;RIO IBA¥EZ;29100;29100;2010;STATION WAGON;SUBARU;OUTBACK;2500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CHHV-85;9;22-03-2021;NULL;Pagado Internet;Total;SU227030810;RIO IBA¥EZ;RIO IBA¥EZ;29100;29100;2010;STATION WAGON;SUBARU;OUTBACK;2500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CHHY-34;3;11-03-2021;2021;Pagado Internet;Total;CT079016110;AISEN;RIO IBA¥EZ;25489;25489;2010;CAMIONETA;FORD;RANGER;2500;Equi;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CHHY-34;3;11-03-2021;NULL;Pagado Internet;Total;CT079016110;AISEN;RIO IBA¥EZ;25489;25489;2010;CAMIONETA;FORD;RANGER;2500;Equi;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CHTV-57;2;06-09-2021;2021;Pagado Internet;Total;NULL;COYHAIQUE;RIO IBA¥EZ;78242;78242;2010;TRACTOCAMION;FREIGHTLIN;CL 112;12800;NORM;DIES;MEC;30000;RIO IBA¥EZ;30-09-2022;;;CHTV-57;2;06-09-2021;NULL;Pagado Internet;Total;NULL;COYHAIQUE;RIO IBA¥EZ;78242;78242;2010;TRACTOCAMION;FREIGHTLIN;CL 112;12800;NORM;DIES;MEC;30000;RIO IBA¥EZ;30-09-2022
CJFC-31;4;08-04-2021;2021;Pagado Internet;Total;VN111007501;RIO IBA¥EZ;RIO IBA¥EZ;25683;25923;2001;STATION WAGON;HYUNDAI;TERRACAN;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CJFC-31;4;08-04-2021;NULL;Pagado Internet;Total;VN111007501;RIO IBA¥EZ;RIO IBA¥EZ;25683;25923;2001;STATION WAGON;HYUNDAI;TERRACAN;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CJFH-36;0;08-04-2021;2021;Pagado Internet;Total;SU057001201;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;2001;STATION WAGON;DAEWOO;KORANDO;2300;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CJFH-36;0;08-04-2021;NULL;Pagado Internet;Total;SU057001201;RIO IBA¥EZ;RIO IBA¥EZ;25489;25923;2001;STATION WAGON;DAEWOO;KORANDO;2300;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CJYY-54;3;31-05-2021;2021;Pagado Internet;Total;SU111008010;RIO IBA¥EZ;RIO IBA¥EZ;25489;26411;2010;STATION WAGON;HYUNDAI;TUCSON GL 2WD AC 2AB ABS;2000;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CJYY-54;3;31-05-2021;NULL;Pagado Internet;Total;SU111008010;RIO IBA¥EZ;RIO IBA¥EZ;25489;26411;2010;STATION WAGON;HYUNDAI;TUCSON GL 2WD AC 2AB ABS;2000;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CJZS-48;2;15-03-2021;2021;Pagado Internet;Total;SU121003810;PUERTO VARAS;RIO IBA¥EZ;106969;106969;2010;SUV;JEEP;WRANGLER;3800;Full;Benc;Aut;0;PUERTO VARAS;31-03-2022;;;CJZS-48;2;15-03-2021;NULL;Pagado Internet;Total;SU121003810;PUERTO VARAS;RIO IBA¥EZ;106969;106969;2010;SUV;JEEP;WRANGLER;3800;Full;Benc;Aut;0;PUERTO VARAS;31-03-2022
CJZV-43;4;31-03-2021;2021;Pagado Internet;Total;SD162024910;RIO IBA¥EZ;RIO IBA¥EZ;75021;75021;2010;AUTOMOVIL;MERCEDES BENZ;E 250;1800;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CJZV-43;4;31-03-2021;NULL;Pagado Internet;Total;SD162024910;RIO IBA¥EZ;RIO IBA¥EZ;75021;75021;2010;AUTOMOVIL;MERCEDES BENZ;E 250;1800;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CK-5131;6;08-03-2021;2021;Pagado Internet;Total;SD050000570;COYHAIQUE;RIO IBA¥EZ;25489;25489;1970;AUTOMOVIL;CHEVROLET;CHEVY NOVA;4100;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CK-5131;6;08-03-2021;NULL;Pagado Internet;Total;SD050000570;COYHAIQUE;RIO IBA¥EZ;25489;25489;1970;AUTOMOVIL;CHEVROLET;CHEVY NOVA;4100;Norm;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CKKD-89;9;31-03-2021;2021;Pagado Internet;Total;CT176028010;RIO IBA¥EZ;RIO IBA¥EZ;26019;26019;2010;CAMIONETA;NISSAN;TERRANO DC TDI 4X4 DX SV ABS;2500;Norm;Dies;Mec;0;RIO IBA¥EZ;31-03-2022;;;CKKD-89;9;31-03-2021;NULL;Pagado Internet;Total;CT176028010;RIO IBA¥EZ;RIO IBA¥EZ;26019;26019;2010;CAMIONETA;NISSAN;TERRANO DC TDI 4X4 DX SV ABS;2500;Norm;Dies;Mec;0;RIO IBA¥EZ;31-03-2022
CKPL-72;9;03-12-2021;2021;Pagado Internet;Total;SU121000900;COYHAIQUE;RIO IBA¥EZ;25489;30406;2000;STATION WAGON;JEEP;WRANGLER;2500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CKPL-72;9;03-12-2021;NULL;Pagado Internet;Total;SU121000900;COYHAIQUE;RIO IBA¥EZ;25489;30406;2000;STATION WAGON;JEEP;WRANGLER;2500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CKPP-22;5;31-03-2021;2021;Pagado Internet;Total;VN111007502;RIO IBA¥EZ;RIO IBA¥EZ;27398;25489;2002;STATION WAGON;HYUNDAI;TERRACAN GL DSL;2500;Full;Dies;Mec;0;RIO IBA¥EZ;31-03-2022;;;CKPP-22;5;31-03-2021;NULL;Pagado Internet;Total;VN111007502;RIO IBA¥EZ;RIO IBA¥EZ;27398;25489;2002;STATION WAGON;HYUNDAI;TERRACAN GL DSL;2500;Full;Dies;Mec;0;RIO IBA¥EZ;31-03-2022
CKXJ-12;0;30-03-2021;2021;Pagado Internet;Total;HB111006410;¥U¥OA;RIO IBA¥EZ;25489;25489;2010;Hatchback;HYUNDAI;I10;1100;Equi;Benc;Mec;0;¥U¥OA;31-03-2022;;;CKXJ-12;0;30-03-2021;NULL;Pagado Internet;Total;HB111006410;¥U¥OA;RIO IBA¥EZ;25489;25489;2010;Hatchback;HYUNDAI;I10;1100;Equi;Benc;Mec;0;¥U¥OA;31-03-2022
CKZX-25;3;08-06-2021;2021;Pagado Internet;Total;VN166004310;PUERTO CISNES;RIO IBA¥EZ;28477;30026;2010;STATION WAGON;MITSUBISHI;MONTERO;3200;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CKZX-25;3;08-06-2021;NULL;Pagado Internet;Total;VN166004310;PUERTO CISNES;RIO IBA¥EZ;28477;30026;2010;STATION WAGON;MITSUBISHI;MONTERO;3200;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CLHC-81;0;08-03-2021;2021;Pagado Internet;Total;SU111008510;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;STATION WAGON;HYUNDAI;SANTA FE;2400;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CLHC-81;0;08-03-2021;NULL;Pagado Internet;Total;SU111008510;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;STATION WAGON;HYUNDAI;SANTA FE;2400;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CLJV-20;3;31-03-2021;2021;Pagado Internet;Total;HB235004510;COLINA;RIO IBA¥EZ;81690;81690;2010;Hatchback;TOYOTA;PRIUS;1800;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CLJV-20;3;31-03-2021;NULL;Pagado Internet;Total;HB235004510;COLINA;RIO IBA¥EZ;81690;81690;2010;Hatchback;TOYOTA;PRIUS;1800;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CLVG-90;3;31-03-2021;2021;Pagado Internet;Total;SD013009110;PROVIDENCIA;RIO IBA¥EZ;78067;78067;2010;AUTOMOVIL;AUDI;A4;1800;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CLVG-90;3;31-03-2021;NULL;Pagado Internet;Total;SD013009110;PROVIDENCIA;RIO IBA¥EZ;78067;78067;2010;AUTOMOVIL;AUDI;A4;1800;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CPRV-82;5;31-03-2021;2021;Pagado Internet;Total;SU197005211;LINARES;RIO IBA¥EZ;54235;54235;2011;STATION WAGON;RENAULT;KOLEOS EXPRESSION MT;2500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CPRV-82;5;31-03-2021;NULL;Pagado Internet;Total;SU197005211;LINARES;RIO IBA¥EZ;54235;54235;2011;STATION WAGON;RENAULT;KOLEOS EXPRESSION MT;2500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CPTV-21;4;06-09-2021;2021;Pagado Internet;2da. Cuota;SU111006908;RIO IBA¥EZ;RIO IBA¥EZ;25489;13209;2008;STATION WAGON;HYUNDAI;SANTA FE;2200;Full;Di‚s;Aut;0;RIO IBA¥EZ;31-03-2022;;;CPTV-21;4;06-09-2021;NULL;Pagado Internet;2da. Cuota;SU111006908;RIO IBA¥EZ;RIO IBA¥EZ;25489;13209;2008;STATION WAGON;HYUNDAI;SANTA FE;2200;Full;Di‚s;Aut;0;RIO IBA¥EZ;31-03-2022
CPTW-21;0;31-03-2021;2021;Pagado Internet;Total;CT225002411;COYHAIQUE;RIO IBA¥EZ;31340;31340;2011;CAMIONETA;SSANGYONG;A.SPORTS;2000;Full;Di‚s;Aut;0;RIO IBA¥EZ;31-03-2022;;;CPTW-21;0;31-03-2021;NULL;Pagado Internet;Total;CT225002411;COYHAIQUE;RIO IBA¥EZ;31340;31340;2011;CAMIONETA;SSANGYONG;A.SPORTS;2000;Full;Di‚s;Aut;0;RIO IBA¥EZ;31-03-2022
CPVC-86;5;22-03-2021;2021;Pagado Internet;Total;CT160010411;COYHAIQUE;RIO IBA¥EZ;25803;25803;2011;CAMIONETA;MAZDA;BT50;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CPVC-86;5;22-03-2021;NULL;Pagado Internet;Total;CT160010411;COYHAIQUE;RIO IBA¥EZ;25803;25803;2011;CAMIONETA;MAZDA;BT50;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CPZJ-78;8;31-03-2021;2021;Pagado Internet;Total;VN166006011;LAS CONDES;RIO IBA¥EZ;114954;114954;2011;STATION WAGON;MITSUBISHI;MONTERO;3500;Full;Dies;Aut;0;RIO IBA¥EZ;31-03-2022;;;CPZJ-78;8;31-03-2021;NULL;Pagado Internet;Total;VN166006011;LAS CONDES;RIO IBA¥EZ;114954;114954;2011;STATION WAGON;MITSUBISHI;MONTERO;3500;Full;Dies;Aut;0;RIO IBA¥EZ;31-03-2022
CRCH-73;1;08-03-2021;2021;Pagado Internet;Total;CT235011510;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;CAMIONETA;TOYOTA;HILUX;2500;Equi;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;CRCH-73;1;08-03-2021;NULL;Pagado Internet;Total;CT235011510;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2010;CAMIONETA;TOYOTA;HILUX;2500;Equi;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
CSLK-88;5;28-03-2021;2021;Pagado Internet;Total;CT176003999;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1999;CAMIONETA;NISSAN;KING-CAB SIN VERSION;2400;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;CSLK-88;5;28-03-2021;NULL;Pagado Internet;Total;CT176003999;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;1999;CAMIONETA;NISSAN;KING-CAB SIN VERSION;2400;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
CSZR-42;9;03-03-2021;2021;Pagado Internet;Total;VN111006602;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2002;STATION WAGON;HYUNDAI;GRACE SPR TD AC;2500;Full;Dies;Mec;0;RIO IBA¥EZ;31-03-2022;;;CSZR-42;9;03-03-2021;NULL;Pagado Internet;Total;VN111006602;RIO IBA¥EZ;RIO IBA¥EZ;25489;25489;2002;STATION WAGON;HYUNDAI;GRACE SPR TD AC;2500;Full;Dies;Mec;0;RIO IBA¥EZ;31-03-2022
CTBJ-75;8;09-03-2021;2021;Pagado Internet;Total;VN079004411;RIO IBA¥EZ;RIO IBA¥EZ;69622;69622;2011;STATION WAGON;FORD;EXPEDITION EDDIE BAUER;5400;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CTBJ-75;8;09-03-2021;NULL;Pagado Internet;Total;VN079004411;RIO IBA¥EZ;RIO IBA¥EZ;69622;69622;2011;STATION WAGON;FORD;EXPEDITION EDDIE BAUER;5400;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CTGR-68;5;30-03-2021;2021;Pagado Internet;Total;SU227030811;LOS ANGELES;RIO IBA¥EZ;95710;95710;2011;STATION WAGON;SUBARU;OUTBACK;2500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CTGR-68;5;30-03-2021;NULL;Pagado Internet;Total;SU227030811;LOS ANGELES;RIO IBA¥EZ;95710;95710;2011;STATION WAGON;SUBARU;OUTBACK;2500;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
CTWY-11;5;25-03-2021;2021;Pagado Internet;Total;CT235013011;RIO IBA¥EZ;RIO IBA¥EZ;47948;47948;2011;CAMIONETA;TOYOTA;TUNDRA 4X4;5700;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;CTWY-11;5;25-03-2021;NULL;Pagado Internet;Total;CT235013011;RIO IBA¥EZ;RIO IBA¥EZ;47948;47948;2011;CAMIONETA;TOYOTA;TUNDRA 4X4;5700;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
